Author Surname   ,Author Forename     ,Order ,Book Title                                                                  ,Genre                 ,read|tone@example.com ,read|simon@example.com ,rating|tone@example.com ,rating|simon@example.com ,Edition                         ,Co Author
Adams            ,Douglas             ,      ,The Hitch Hiker's Guide to the Galaxy                                       ,Sci-fi                ,Y                     ,Y                      ,                      8 ,                     8   ,Paperback                       ,
Adams            ,Douglas             ,      ,The Hitch Hiker's Guide to the Galaxy Omnibus                               ,Sci-fi                ,P                     ,Y                      ,                        ,                     7.5 ,Hardback                        ,
Adams            ,Guy                 ,      ,The Clown Service                                                           ,Fantasy               ,Y                     ,N                      ,                      5 ,                         ,Hardback                        ,
Alcott           ,Louisa May          ,      ,Little Women                                                                ,Coming-of-Age Fiction ,Y                     ,N                      ,                      9 ,                         ,Hardback Clothbound             ,
Alderman         ,Naomi               ,      ,The Power                                                                   ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Allende          ,Isabel              ,      ,Paula                                                                       ,Autobiography         ,N                     ,N                      ,                        ,                         ,Paperback 2nd Hand              ,
Andersen         ,Hans Christian      ,      ,Fairy Tales                                                                 ,Anthology             ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Atwood           ,Margaret            ,      ,Life Before Man                                                             ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback 2nd Hand              ,
Auel             ,Jean M.             ,1     ,Earth's Children | The Clan of the Cave Bear                                ,Historical Fiction    ,Y                     ,Y                      ,                     10 ,                         ,Paperback                       ,
Auel             ,Jean M.             ,2     ,Earth's Children | The Valley of Horses                                     ,Historical Fiction    ,Y                     ,Y                      ,                     10 ,                         ,Paperback                       ,
Auel             ,Jean M.             ,3     ,Earth's Children | The Mammoth Hunters                                      ,Historical Fiction    ,Y                     ,Y                      ,                      8 ,                         ,Paperback                       ,
Auel             ,Jean M.             ,4     ,Earth's Children | The Plains of Passage                                    ,Historical Fiction    ,Y                     ,Y                      ,                     10 ,                         ,Paperback                       ,
Auel             ,Jean M.             ,5     ,Earth's Children | The Shelters of Stone                                    ,Historical Fiction    ,Y                     ,Y                      ,                     10 ,                         ,Paperback                       ,
Auel             ,Jean M.             ,6     ,Earth's Children | The Land of the Painted Caves                            ,Historical Fiction    ,Y                     ,Y                      ,                     10 ,                         ,Paperback                       ,
Auel             ,Jean M.             ,6     ,Earth's Children | The Land of the Painted Caves                            ,Historical Fiction    ,Y                     ,Y                      ,                     10 ,                         ,Hardback                        ,
Austen           ,Jane                ,      ,Mansfield Park                                                              ,Romance               ,N                     ,N                      ,                        ,                         ,Hardback Leatherbound 2nd Hand  ,
Austen           ,Jane                ,      ,Northanger Abbey and Persuasion                                             ,Romance               ,N                     ,N                      ,                        ,                         ,Hardback Leatherbound 2nd Hand  ,
Austen           ,Jane                ,      ,Persuasion                                                                  ,Romance               ,N                     ,N                      ,                        ,                         ,Paperback Oxford Classic        ,
Austen           ,Jane                ,      ,Pride and Prejudice                                                         ,Classic               ,Y                     ,N                      ,                      8 ,                         ,Paperback                       ,
Austen           ,Jane                ,      ,Pride and Prejudice                                                         ,Romance               ,Y                     ,N                      ,                      8 ,                         ,Hardback Clothbound             ,
Austen           ,Jane                ,      ,Pride and Prejudice                                                         ,Romance               ,Y                     ,N                      ,                      8 ,                         ,Hardback Leatherbound 2nd Hand  ,
Austen           ,Jane                ,      ,Sense and Sensibility                                                       ,Classic               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Austen           ,Jane                ,      ,Sense and Sensibility                                                       ,Romance               ,N                     ,N                      ,                        ,                         ,Hardback Leatherbound 2nd Hand  ,
Austen           ,Jane                ,      ,The Complete Novels of Jane Austen                                          ,Anthology             ,P                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Ayoade           ,Richard             ,      ,Ayoade on Ayoade                                                            ,Autobiography         ,N                     ,P                      ,                        ,                         ,Paperback                       ,
Baker            ,Harry               ,      ,The Sunshine Kid                                                            ,Poetry                ,Y                     ,Y                      ,                        ,                         ,Paperback Signed                ,
Baker            ,Peter S.            ,      ,Introduction to Old English                                                 ,Reference             ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
